time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,location,latitude,longitude
2026-07-18 00:00:00,32.2,66,0.0,4.8,Connaught Place,28.6315,77.2167
2026-07-18 01:00:00,31.5,67,0.0,3.7,Connaught Place,28.6315,77.2167
2026-07-18 02:00:00,31.1,66,0.0,3.7,Connaught Place,28.6315,77.2167
2026-07-18 03:00:00,31.0,64,0.0,4.3,Connaught Place,28.6315,77.2167
2026-07-18 04:00:00,30.9,62,0.0,6.7,Connaught Place,28.6315,77.2167
2026-07-18 05:00:00,31.3,66,0.0,10.3,Connaught Place,28.6315,77.2167
2026-07-18 06:00:00,31.2,60,0.0,10.2,Connaught Place,28.6315,77.2167
2026-07-18 07:00:00,32.0,56,0.0,9.8,Connaught Place,28.6315,77.2167
2026-07-18 08:00:00,32.3,57,0.0,8.7,Connaught Place,28.6315,77.2167
2026-07-18 09:00:00,33.1,57,0.0,9.8,Connaught Place,28.6315,77.2167
2026-07-18 10:00:00,34.7,52,0.0,12.5,Connaught Place,28.6315,77.2167
2026-07-18 11:00:00,35.4,49,0.0,13.9,Connaught Place,28.6315,77.2167
2026-07-18 12:00:00,35.7,48,0.0,12.9,Connaught Place,28.6315,77.2167
2026-07-18 13:00:00,36.2,46,0.0,11.2,Connaught Place,28.6315,77.2167
2026-07-18 14:00:00,36.2,45,0.0,9.6,Connaught Place,28.6315,77.2167
2026-07-18 15:00:00,36.6,43,0.0,8.9,Connaught Place,28.6315,77.2167
2026-07-18 16:00:00,36.2,44,0.0,7.5,Connaught Place,28.6315,77.2167
2026-07-18 17:00:00,36.6,41,0.0,4.5,Connaught Place,28.6315,77.2167
2026-07-18 18:00:00,36.0,44,0.0,4.8,Connaught Place,28.6315,77.2167
2026-07-18 19:00:00,34.7,48,0.0,6.5,Connaught Place,28.6315,77.2167
2026-07-18 20:00:00,34.2,50,0.0,5.3,Connaught Place,28.6315,77.2167
2026-07-18 21:00:00,34.3,54,0.0,3.5,Connaught Place,28.6315,77.2167
2026-07-18 22:00:00,34.0,55,0.0,1.2,Connaught Place,28.6315,77.2167
2026-07-18 23:00:00,34.0,58,0.0,2.3,Connaught Place,28.6315,77.2167
2026-07-19 00:00:00,32.9,58,0.0,3.8,Connaught Place,28.6315,77.2167
2026-07-19 01:00:00,32.3,63,0.0,2.8,Connaught Place,28.6315,77.2167
2026-07-19 02:00:00,31.5,67,0.0,4.4,Connaught Place,28.6315,77.2167
2026-07-19 03:00:00,31.1,69,0.0,4.5,Connaught Place,28.6315,77.2167
2026-07-19 04:00:00,30.6,70,0.0,4.7,Connaught Place,28.6315,77.2167
2026-07-19 05:00:00,29.9,83,0.0,2.1,Connaught Place,28.6315,77.2167
2026-07-19 06:00:00,30.6,77,0.0,6.4,Connaught Place,28.6315,77.2167
2026-07-19 07:00:00,31.8,70,0.0,6.1,Connaught Place,28.6315,77.2167
2026-07-19 08:00:00,32.7,61,0.0,7.6,Connaught Place,28.6315,77.2167
2026-07-19 09:00:00,33.2,57,0.0,6.9,Connaught Place,28.6315,77.2167
2026-07-19 10:00:00,34.4,52,0.0,7.9,Connaught Place,28.6315,77.2167
2026-07-19 11:00:00,35.7,47,0.0,11.0,Connaught Place,28.6315,77.2167
2026-07-19 12:00:00,36.1,46,0.0,11.1,Connaught Place,28.6315,77.2167
2026-07-19 13:00:00,35.7,49,0.0,8.2,Connaught Place,28.6315,77.2167
2026-07-19 14:00:00,36.2,47,0.0,5.3,Connaught Place,28.6315,77.2167
2026-07-19 15:00:00,35.8,49,0.0,5.0,Connaught Place,28.6315,77.2167
2026-07-19 16:00:00,34.1,58,1.0,5.9,Connaught Place,28.6315,77.2167
2026-07-19 17:00:00,37.1,42,0.0,5.3,Connaught Place,28.6315,77.2167
2026-07-19 18:00:00,35.2,50,0.4,8.1,Connaught Place,28.6315,77.2167
2026-07-19 19:00:00,32.4,72,0.1,11.0,Connaught Place,28.6315,77.2167
2026-07-19 20:00:00,31.8,77,0.0,8.1,Connaught Place,28.6315,77.2167
2026-07-19 21:00:00,31.6,77,0.1,5.5,Connaught Place,28.6315,77.2167
2026-07-19 22:00:00,31.0,80,0.6,5.8,Connaught Place,28.6315,77.2167
2026-07-19 23:00:00,31.8,76,0.6,8.7,Connaught Place,28.6315,77.2167
2026-07-20 00:00:00,30.4,83,0.0,6.8,Connaught Place,28.6315,77.2167
2026-07-20 01:00:00,29.1,88,0.0,9.0,Connaught Place,28.6315,77.2167
2026-07-20 02:00:00,28.4,88,0.0,7.0,Connaught Place,28.6315,77.2167
2026-07-20 03:00:00,28.6,87,0.0,2.8,Connaught Place,28.6315,77.2167
2026-07-20 04:00:00,27.2,93,3.8,10.4,Connaught Place,28.6315,77.2167
2026-07-20 05:00:00,28.8,81,1.1,8.5,Connaught Place,28.6315,77.2167
2026-07-20 06:00:00,28.9,83,0.1,6.6,Connaught Place,28.6315,77.2167
2026-07-20 07:00:00,27.9,87,1.2,3.5,Connaught Place,28.6315,77.2167
2026-07-20 08:00:00,27.4,94,5.8,3.9,Connaught Place,28.6315,77.2167
2026-07-20 09:00:00,28.9,89,0.6,5.0,Connaught Place,28.6315,77.2167
2026-07-20 10:00:00,29.5,86,0.7,1.8,Connaught Place,28.6315,77.2167
2026-07-20 11:00:00,32.2,67,0.3,5.6,Connaught Place,28.6315,77.2167
2026-07-20 12:00:00,30.7,75,2.0,6.7,Connaught Place,28.6315,77.2167
2026-07-20 13:00:00,29.7,82,6.0,11.2,Connaught Place,28.6315,77.2167
2026-07-20 14:00:00,29.9,81,0.4,8.6,Connaught Place,28.6315,77.2167
2026-07-20 15:00:00,30.8,78,0.2,4.5,Connaught Place,28.6315,77.2167
2026-07-20 16:00:00,31.0,77,0.0,3.8,Connaught Place,28.6315,77.2167
2026-07-20 17:00:00,29.5,81,0.0,4.1,Connaught Place,28.6315,77.2167
2026-07-20 18:00:00,27.5,92,6.3,3.8,Connaught Place,28.6315,77.2167
2026-07-20 19:00:00,27.4,94,2.9,2.6,Connaught Place,28.6315,77.2167
2026-07-20 20:00:00,27.6,94,1.0,1.7,Connaught Place,28.6315,77.2167
2026-07-20 21:00:00,27.7,95,0.5,1.5,Connaught Place,28.6315,77.2167
2026-07-20 22:00:00,27.6,94,0.1,1.8,Connaught Place,28.6315,77.2167
2026-07-20 23:00:00,26.6,96,0.0,1.4,Connaught Place,28.6315,77.2167
2026-07-21 00:00:00,26.8,96,0.2,3.1,Connaught Place,28.6315,77.2167
2026-07-21 01:00:00,26.7,95,0.9,6.2,Connaught Place,28.6315,77.2167
2026-07-21 02:00:00,26.5,95,0.3,7.2,Connaught Place,28.6315,77.2167
2026-07-21 03:00:00,26.3,94,0.1,7.9,Connaught Place,28.6315,77.2167
2026-07-21 04:00:00,26.2,92,0.1,6.1,Connaught Place,28.6315,77.2167
2026-07-21 05:00:00,26.5,92,0.5,4.4,Connaught Place,28.6315,77.2167
2026-07-21 06:00:00,26.0,93,3.7,6.2,Connaught Place,28.6315,77.2167
2026-07-21 07:00:00,26.0,94,1.0,9.7,Connaught Place,28.6315,77.2167
2026-07-21 08:00:00,26.6,91,0.2,9.9,Connaught Place,28.6315,77.2167
2026-07-21 09:00:00,27.3,87,0.1,8.8,Connaught Place,28.6315,77.2167
2026-07-21 10:00:00,28.3,82,0.2,9.4,Connaught Place,28.6315,77.2167
2026-07-21 11:00:00,26.8,94,0.1,10.5,Connaught Place,28.6315,77.2167
2026-07-21 12:00:00,28.0,92,0.9,6.9,Connaught Place,28.6315,77.2167
2026-07-21 13:00:00,29.9,82,0.5,6.5,Connaught Place,28.6315,77.2167
2026-07-21 14:00:00,28.7,84,1.5,7.9,Connaught Place,28.6315,77.2167
2026-07-21 15:00:00,28.2,87,1.5,9.7,Connaught Place,28.6315,77.2167
2026-07-21 16:00:00,28.8,85,0.6,5.8,Connaught Place,28.6315,77.2167
2026-07-21 17:00:00,29.7,80,0.1,8.6,Connaught Place,28.6315,77.2167
2026-07-21 18:00:00,29.3,79,0.3,6.0,Connaught Place,28.6315,77.2167
2026-07-21 19:00:00,28.6,85,0.2,4.1,Connaught Place,28.6315,77.2167
2026-07-21 20:00:00,28.5,85,0.0,6.9,Connaught Place,28.6315,77.2167
2026-07-21 21:00:00,28.2,86,0.1,7.5,Connaught Place,28.6315,77.2167
2026-07-21 22:00:00,27.9,87,0.0,9.7,Connaught Place,28.6315,77.2167
2026-07-21 23:00:00,27.1,93,0.1,11.4,Connaught Place,28.6315,77.2167
2026-07-22 00:00:00,26.8,93,0.1,10.6,Connaught Place,28.6315,77.2167
2026-07-22 01:00:00,26.6,93,0.1,8.9,Connaught Place,28.6315,77.2167
2026-07-22 02:00:00,26.6,94,0.0,8.0,Connaught Place,28.6315,77.2167
2026-07-22 03:00:00,26.0,95,1.3,10.8,Connaught Place,28.6315,77.2167
2026-07-22 04:00:00,25.8,95,0.5,10.6,Connaught Place,28.6315,77.2167
2026-07-22 05:00:00,26.1,96,0.6,11.3,Connaught Place,28.6315,77.2167
2026-07-22 06:00:00,26.1,96,0.8,12.3,Connaught Place,28.6315,77.2167
2026-07-22 07:00:00,26.6,91,0.4,13.2,Connaught Place,28.6315,77.2167
2026-07-22 08:00:00,27.1,84,0.9,15.4,Connaught Place,28.6315,77.2167
2026-07-22 09:00:00,28.8,78,0.3,13.8,Connaught Place,28.6315,77.2167
2026-07-22 10:00:00,30.2,70,0.3,13.6,Connaught Place,28.6315,77.2167
2026-07-22 11:00:00,30.7,67,0.3,14.3,Connaught Place,28.6315,77.2167
2026-07-22 12:00:00,31.6,64,0.2,14.4,Connaught Place,28.6315,77.2167
2026-07-22 13:00:00,31.8,67,0.0,11.4,Connaught Place,28.6315,77.2167
2026-07-22 14:00:00,32.0,66,0.2,10.7,Connaught Place,28.6315,77.2167
2026-07-22 15:00:00,32.0,67,0.1,10.7,Connaught Place,28.6315,77.2167
2026-07-22 16:00:00,31.7,66,0.5,9.1,Connaught Place,28.6315,77.2167
2026-07-22 17:00:00,28.3,87,0.2,6.0,Connaught Place,28.6315,77.2167
2026-07-22 18:00:00,28.9,86,0.0,3.9,Connaught Place,28.6315,77.2167
2026-07-22 19:00:00,28.8,88,0.0,4.4,Connaught Place,28.6315,77.2167
2026-07-22 20:00:00,29.0,88,0.0,6.9,Connaught Place,28.6315,77.2167
2026-07-22 21:00:00,29.0,86,0.0,8.9,Connaught Place,28.6315,77.2167
2026-07-22 22:00:00,28.9,82,0.1,8.9,Connaught Place,28.6315,77.2167
2026-07-22 23:00:00,28.4,84,0.0,9.6,Connaught Place,28.6315,77.2167
2026-07-23 00:00:00,28.3,83,0.0,11.0,Connaught Place,28.6315,77.2167
2026-07-23 01:00:00,28.1,83,0.0,11.3,Connaught Place,28.6315,77.2167
2026-07-23 02:00:00,27.8,84,0.0,11.4,Connaught Place,28.6315,77.2167
2026-07-23 03:00:00,27.5,85,0.0,10.2,Connaught Place,28.6315,77.2167
2026-07-23 04:00:00,27.3,85,0.0,10.0,Connaught Place,28.6315,77.2167
2026-07-23 05:00:00,26.8,92,0.0,8.9,Connaught Place,28.6315,77.2167
2026-07-23 06:00:00,26.4,94,0.9,9.3,Connaught Place,28.6315,77.2167
2026-07-23 07:00:00,26.6,89,0.5,11.8,Connaught Place,28.6315,77.2167
2026-07-23 08:00:00,28.1,82,0.3,10.8,Connaught Place,28.6315,77.2167
2026-07-23 09:00:00,28.8,80,0.4,9.6,Connaught Place,28.6315,77.2167
2026-07-23 10:00:00,30.5,72,0.1,12.1,Connaught Place,28.6315,77.2167
2026-07-23 11:00:00,31.4,66,0.0,14.1,Connaught Place,28.6315,77.2167
2026-07-23 12:00:00,31.8,64,0.1,14.0,Connaught Place,28.6315,77.2167
2026-07-23 13:00:00,32.2,62,0.2,13.8,Connaught Place,28.6315,77.2167
2026-07-23 14:00:00,32.6,62,0.1,12.5,Connaught Place,28.6315,77.2167
2026-07-23 15:00:00,30.7,71,0.9,14.1,Connaught Place,28.6315,77.2167
2026-07-23 16:00:00,30.4,75,0.7,4.5,Connaught Place,28.6315,77.2167
2026-07-23 17:00:00,31.7,65,0.2,12.1,Connaught Place,28.6315,77.2167
2026-07-23 18:00:00,30.7,70,0.2,10.1,Connaught Place,28.6315,77.2167
2026-07-23 19:00:00,30.2,73,0.2,6.9,Connaught Place,28.6315,77.2167
2026-07-23 20:00:00,28.8,81,1.0,4.9,Connaught Place,28.6315,77.2167
2026-07-23 21:00:00,26.4,93,3.6,9.2,Connaught Place,28.6315,77.2167
2026-07-23 22:00:00,26.6,93,0.4,11.6,Connaught Place,28.6315,77.2167
2026-07-23 23:00:00,27.7,87,0.0,12.0,Connaught Place,28.6315,77.2167
2026-07-24 00:00:00,27.3,87,0.0,10.3,Connaught Place,28.6315,77.2167
2026-07-24 01:00:00,27.1,88,0.0,10.1,Connaught Place,28.6315,77.2167
2026-07-24 02:00:00,27.0,89,0.0,8.8,Connaught Place,28.6315,77.2167
2026-07-24 03:00:00,26.8,90,0.0,9.0,Connaught Place,28.6315,77.2167
2026-07-24 04:00:00,26.7,90,0.0,9.6,Connaught Place,28.6315,77.2167
2026-07-24 05:00:00,25.8,94,0.1,8.9,Connaught Place,28.6315,77.2167
2026-07-24 06:00:00,25.9,94,0.2,11.4,Connaught Place,28.6315,77.2167
2026-07-24 07:00:00,26.9,90,0.0,9.9,Connaught Place,28.6315,77.2167
2026-07-24 08:00:00,28.4,82,0.0,14.2,Connaught Place,28.6315,77.2167
2026-07-24 09:00:00,29.6,76,0.0,13.2,Connaught Place,28.6315,77.2167
2026-07-24 10:00:00,30.5,71,0.2,12.7,Connaught Place,28.6315,77.2167
2026-07-24 11:00:00,30.5,74,0.1,13.0,Connaught Place,28.6315,77.2167
2026-07-24 12:00:00,31.3,71,0.7,12.9,Connaught Place,28.6315,77.2167
2026-07-24 13:00:00,29.7,76,1.8,13.0,Connaught Place,28.6315,77.2167
2026-07-24 14:00:00,29.0,81,4.0,8.9,Connaught Place,28.6315,77.2167
2026-07-24 15:00:00,29.4,81,1.9,6.3,Connaught Place,28.6315,77.2167
2026-07-24 16:00:00,30.5,75,0.1,7.3,Connaught Place,28.6315,77.2167
2026-07-24 17:00:00,30.2,81,0.1,5.5,Connaught Place,28.6315,77.2167
2026-07-24 18:00:00,30.2,82,0.0,7.4,Connaught Place,28.6315,77.2167
2026-07-24 19:00:00,29.8,83,0.0,8.4,Connaught Place,28.6315,77.2167
2026-07-24 20:00:00,29.7,83,0.0,9.0,Connaught Place,28.6315,77.2167
2026-07-24 21:00:00,29.2,82,0.0,10.7,Connaught Place,28.6315,77.2167
2026-07-24 22:00:00,28.8,83,0.0,10.3,Connaught Place,28.6315,77.2167
2026-07-24 23:00:00,28.5,85,0.0,11.8,Connaught Place,28.6315,77.2167
2026-07-25 00:00:00,28.4,84,0.0,12.1,Connaught Place,28.6315,77.2167
2026-07-25 01:00:00,28.2,82,0.0,11.3,Connaught Place,28.6315,77.2167
2026-07-25 02:00:00,27.9,84,0.1,10.6,Connaught Place,28.6315,77.2167
2026-07-25 03:00:00,27.7,87,0.1,9.9,Connaught Place,28.6315,77.2167
2026-07-25 04:00:00,27.6,87,0.0,9.7,Connaught Place,28.6315,77.2167
2026-07-25 05:00:00,27.3,90,0.1,8.9,Connaught Place,28.6315,77.2167
2026-07-25 06:00:00,27.6,89,0.0,7.5,Connaught Place,28.6315,77.2167
2026-07-25 07:00:00,28.4,86,0.0,6.9,Connaught Place,28.6315,77.2167
2026-07-25 08:00:00,28.6,80,0.6,12.0,Connaught Place,28.6315,77.2167
2026-07-25 09:00:00,29.7,75,0.2,10.0,Connaught Place,28.6315,77.2167
2026-07-25 10:00:00,30.4,75,0.4,10.4,Connaught Place,28.6315,77.2167
2026-07-25 11:00:00,31.6,66,0.2,11.6,Connaught Place,28.6315,77.2167
2026-07-25 12:00:00,31.9,65,0.1,12.3,Connaught Place,28.6315,77.2167
2026-07-25 13:00:00,32.4,63,0.1,10.8,Connaught Place,28.6315,77.2167
2026-07-25 14:00:00,32.8,60,0.2,12.0,Connaught Place,28.6315,77.2167
2026-07-25 15:00:00,32.6,62,0.2,11.4,Connaught Place,28.6315,77.2167
2026-07-25 16:00:00,31.7,66,0.1,11.2,Connaught Place,28.6315,77.2167
2026-07-25 17:00:00,30.8,78,0.1,8.2,Connaught Place,28.6315,77.2167
2026-07-25 18:00:00,29.9,79,0.0,10.5,Connaught Place,28.6315,77.2167
2026-07-25 19:00:00,29.1,83,0.0,8.0,Connaught Place,28.6315,77.2167
2026-07-25 20:00:00,28.7,85,0.0,9.4,Connaught Place,28.6315,77.2167
2026-07-25 21:00:00,28.2,88,0.0,8.1,Connaught Place,28.6315,77.2167
2026-07-25 22:00:00,27.9,88,0.0,8.0,Connaught Place,28.6315,77.2167
2026-07-25 23:00:00,27.5,92,0.0,8.8,Connaught Place,28.6315,77.2167
2026-07-26 00:00:00,27.5,93,0.1,9.8,Connaught Place,28.6315,77.2167
2026-07-26 01:00:00,27.6,94,0.0,8.1,Connaught Place,28.6315,77.2167
2026-07-26 02:00:00,27.6,94,0.0,7.5,Connaught Place,28.6315,77.2167
2026-07-26 03:00:00,27.5,94,0.0,6.6,Connaught Place,28.6315,77.2167
2026-07-26 04:00:00,27.4,94,0.0,5.9,Connaught Place,28.6315,77.2167
2026-07-26 05:00:00,28.3,95,0.0,4.2,Connaught Place,28.6315,77.2167
2026-07-26 06:00:00,27.8,95,0.6,5.8,Connaught Place,28.6315,77.2167
2026-07-26 07:00:00,28.3,89,0.3,3.1,Connaught Place,28.6315,77.2167
2026-07-26 08:00:00,29.7,81,0.3,2.4,Connaught Place,28.6315,77.2167
2026-07-26 09:00:00,30.9,75,0.0,2.6,Connaught Place,28.6315,77.2167
2026-07-26 10:00:00,31.8,71,0.1,3.3,Connaught Place,28.6315,77.2167
2026-07-26 11:00:00,32.4,65,0.0,3.3,Connaught Place,28.6315,77.2167
2026-07-26 12:00:00,33.3,61,0.2,2.9,Connaught Place,28.6315,77.2167
2026-07-26 13:00:00,33.9,60,0.3,3.7,Connaught Place,28.6315,77.2167
2026-07-26 14:00:00,34.0,60,0.2,3.7,Connaught Place,28.6315,77.2167
2026-07-26 15:00:00,34.1,59,0.2,3.8,Connaught Place,28.6315,77.2167
2026-07-26 16:00:00,33.9,59,0.1,3.6,Connaught Place,28.6315,77.2167
2026-07-26 17:00:00,33.2,66,0.1,4.2,Connaught Place,28.6315,77.2167
2026-07-26 18:00:00,32.5,71,0.0,4.1,Connaught Place,28.6315,77.2167
2026-07-26 19:00:00,31.7,78,0.0,2.8,Connaught Place,28.6315,77.2167
2026-07-26 20:00:00,31.7,78,0.0,0.4,Connaught Place,28.6315,77.2167
2026-07-26 21:00:00,31.5,81,0.0,0.2,Connaught Place,28.6315,77.2167
2026-07-26 22:00:00,31.3,81,0.0,1.2,Connaught Place,28.6315,77.2167
2026-07-26 23:00:00,31.1,84,0.0,1.2,Connaught Place,28.6315,77.2167
2026-07-27 00:00:00,30.6,85,0.0,1.9,Connaught Place,28.6315,77.2167
2026-07-27 01:00:00,30.3,86,0.0,0.8,Connaught Place,28.6315,77.2167
2026-07-27 02:00:00,30.0,88,0.0,2.1,Connaught Place,28.6315,77.2167
2026-07-27 03:00:00,29.8,87,0.0,1.7,Connaught Place,28.6315,77.2167
2026-07-27 04:00:00,29.6,86,0.0,2.0,Connaught Place,28.6315,77.2167
2026-07-27 05:00:00,29.7,87,0.0,1.3,Connaught Place,28.6315,77.2167
2026-07-27 06:00:00,29.7,86,0.0,1.5,Connaught Place,28.6315,77.2167
2026-07-27 07:00:00,30.5,82,0.0,0.9,Connaught Place,28.6315,77.2167
2026-07-27 08:00:00,31.6,75,0.0,1.5,Connaught Place,28.6315,77.2167
2026-07-27 09:00:00,32.8,67,0.0,2.1,Connaught Place,28.6315,77.2167
2026-07-27 10:00:00,33.6,62,0.2,1.9,Connaught Place,28.6315,77.2167
2026-07-27 11:00:00,34.7,51,0.1,1.7,Connaught Place,28.6315,77.2167
2026-07-27 12:00:00,35.6,49,0.0,3.5,Connaught Place,28.6315,77.2167
2026-07-27 13:00:00,35.6,52,0.0,4.8,Connaught Place,28.6315,77.2167
2026-07-27 14:00:00,35.3,53,0.0,6.2,Connaught Place,28.6315,77.2167
2026-07-27 15:00:00,33.9,57,0.8,4.8,Connaught Place,28.6315,77.2167
2026-07-27 16:00:00,34.1,56,0.1,2.4,Connaught Place,28.6315,77.2167
2026-07-27 17:00:00,32.9,65,0.0,2.2,Connaught Place,28.6315,77.2167
2026-07-27 18:00:00,32.3,72,0.0,0.7,Connaught Place,28.6315,77.2167
2026-07-27 19:00:00,32.1,72,0.0,2.4,Connaught Place,28.6315,77.2167
2026-07-27 20:00:00,31.6,73,0.0,5.3,Connaught Place,28.6315,77.2167
2026-07-27 21:00:00,30.4,80,0.0,8.8,Connaught Place,28.6315,77.2167
2026-07-27 22:00:00,29.6,82,0.0,11.2,Connaught Place,28.6315,77.2167
2026-07-27 23:00:00,30.2,85,0.1,9.3,Connaught Place,28.6315,77.2167
2026-07-28 00:00:00,29.0,86,0.5,13.3,Connaught Place,28.6315,77.2167
2026-07-28 01:00:00,27.8,90,0.2,7.8,Connaught Place,28.6315,77.2167
2026-07-28 02:00:00,27.4,93,0.4,9.6,Connaught Place,28.6315,77.2167
2026-07-28 03:00:00,26.6,95,0.2,7.9,Connaught Place,28.6315,77.2167
2026-07-28 04:00:00,26.3,96,0.2,8.7,Connaught Place,28.6315,77.2167
2026-07-28 05:00:00,28.7,91,0.1,8.3,Connaught Place,28.6315,77.2167
2026-07-28 06:00:00,28.6,92,0.0,7.8,Connaught Place,28.6315,77.2167
2026-07-28 07:00:00,29.0,91,0.2,8.3,Connaught Place,28.6315,77.2167
2026-07-28 08:00:00,28.9,85,0.6,12.1,Connaught Place,28.6315,77.2167
2026-07-28 09:00:00,28.6,86,0.5,5.9,Connaught Place,28.6315,77.2167
2026-07-28 10:00:00,27.3,93,3.1,11.6,Connaught Place,28.6315,77.2167
2026-07-28 11:00:00,27.3,94,1.2,9.2,Connaught Place,28.6315,77.2167
2026-07-28 12:00:00,27.1,95,4.9,9.8,Connaught Place,28.6315,77.2167
2026-07-28 13:00:00,27.1,94,2.4,7.5,Connaught Place,28.6315,77.2167
2026-07-28 14:00:00,27.2,94,1.9,4.3,Connaught Place,28.6315,77.2167
2026-07-28 15:00:00,27.7,88,0.5,5.1,Connaught Place,28.6315,77.2167
2026-07-28 16:00:00,27.6,87,0.3,3.8,Connaught Place,28.6315,77.2167
2026-07-28 17:00:00,30.8,73,0.0,2.4,Connaught Place,28.6315,77.2167
2026-07-28 18:00:00,30.2,77,0.0,2.4,Connaught Place,28.6315,77.2167
2026-07-28 19:00:00,29.5,83,0.0,2.3,Connaught Place,28.6315,77.2167
2026-07-28 20:00:00,29.0,84,0.0,3.4,Connaught Place,28.6315,77.2167
2026-07-28 21:00:00,28.7,86,0.0,4.9,Connaught Place,28.6315,77.2167
2026-07-28 22:00:00,28.2,87,0.1,6.0,Connaught Place,28.6315,77.2167
2026-07-28 23:00:00,27.9,89,0.5,1.9,Connaught Place,28.6315,77.2167
2026-07-29 00:00:00,27.7,91,0.1,1.8,Connaught Place,28.6315,77.2167
2026-07-29 01:00:00,27.4,94,0.6,3.1,Connaught Place,28.6315,77.2167
2026-07-29 02:00:00,26.9,97,0.7,5.9,Connaught Place,28.6315,77.2167
2026-07-29 03:00:00,26.6,97,0.3,4.4,Connaught Place,28.6315,77.2167
2026-07-29 04:00:00,26.7,97,0.0,1.9,Connaught Place,28.6315,77.2167
2026-07-29 05:00:00,26.8,97,0.0,1.3,Connaught Place,28.6315,77.2167
2026-07-29 06:00:00,26.5,97,2.5,1.8,Connaught Place,28.6315,77.2167
2026-07-29 07:00:00,26.5,97,2.3,4.0,Connaught Place,28.6315,77.2167
2026-07-29 08:00:00,26.8,96,1.8,3.0,Connaught Place,28.6315,77.2167
2026-07-29 09:00:00,28.1,87,1.0,2.0,Connaught Place,28.6315,77.2167
2026-07-29 10:00:00,29.1,82,0.2,3.1,Connaught Place,28.6315,77.2167
2026-07-29 11:00:00,31.0,74,0.1,2.0,Connaught Place,28.6315,77.2167
2026-07-29 12:00:00,31.9,71,0.1,0.2,Connaught Place,28.6315,77.2167
2026-07-29 13:00:00,32.1,69,0.1,0.9,Connaught Place,28.6315,77.2167
2026-07-29 14:00:00,32.6,68,0.0,2.7,Connaught Place,28.6315,77.2167
2026-07-29 15:00:00,32.9,65,0.1,1.5,Connaught Place,28.6315,77.2167
2026-07-29 16:00:00,32.3,66,0.1,1.9,Connaught Place,28.6315,77.2167
2026-07-29 17:00:00,33.3,62,0.0,3.8,Connaught Place,28.6315,77.2167
2026-07-29 18:00:00,32.5,69,0.0,3.5,Connaught Place,28.6315,77.2167
2026-07-29 19:00:00,31.4,77,0.0,3.4,Connaught Place,28.6315,77.2167
2026-07-29 20:00:00,30.8,80,0.0,4.3,Connaught Place,28.6315,77.2167
2026-07-29 21:00:00,30.2,83,0.0,4.6,Connaught Place,28.6315,77.2167
2026-07-29 22:00:00,29.7,85,0.0,3.6,Connaught Place,28.6315,77.2167
2026-07-29 23:00:00,30.1,84,0.0,6.8,Connaught Place,28.6315,77.2167
2026-07-30 00:00:00,29.4,87,0.0,8.5,Connaught Place,28.6315,77.2167
2026-07-30 01:00:00,26.9,92,0.9,9.6,Connaught Place,28.6315,77.2167
2026-07-30 02:00:00,25.6,99,2.5,6.0,Connaught Place,28.6315,77.2167
2026-07-30 03:00:00,26.1,98,0.3,1.0,Connaught Place,28.6315,77.2167
2026-07-30 04:00:00,26.3,98,0.1,2.7,Connaught Place,28.6315,77.2167
2026-07-30 05:00:00,28.5,92,0.0,2.8,Connaught Place,28.6315,77.2167
2026-07-30 06:00:00,28.5,93,1.3,2.4,Connaught Place,28.6315,77.2167
2026-07-30 07:00:00,28.8,87,1.0,9.9,Connaught Place,28.6315,77.2167
2026-07-30 08:00:00,29.5,85,0.9,7.2,Connaught Place,28.6315,77.2167
2026-07-30 09:00:00,30.8,76,0.2,6.4,Connaught Place,28.6315,77.2167
2026-07-30 10:00:00,32.0,70,0.0,7.2,Connaught Place,28.6315,77.2167
2026-07-30 11:00:00,32.8,63,0.0,4.8,Connaught Place,28.6315,77.2167
2026-07-30 12:00:00,33.2,61,0.1,6.7,Connaught Place,28.6315,77.2167
2026-07-30 13:00:00,32.5,64,0.7,7.6,Connaught Place,28.6315,77.2167
2026-07-30 14:00:00,33.1,63,0.3,3.9,Connaught Place,28.6315,77.2167
2026-07-30 15:00:00,33.5,60,0.1,4.3,Connaught Place,28.6315,77.2167
2026-07-30 16:00:00,33.4,60,0.1,6.0,Connaught Place,28.6315,77.2167
2026-07-30 17:00:00,32.3,69,0.0,11.6,Connaught Place,28.6315,77.2167
2026-07-30 18:00:00,29.3,81,0.0,13.0,Connaught Place,28.6315,77.2167
2026-07-30 19:00:00,28.8,85,0.0,6.9,Connaught Place,28.6315,77.2167
2026-07-30 20:00:00,28.7,88,0.0,6.8,Connaught Place,28.6315,77.2167
2026-07-30 21:00:00,28.5,89,0.0,7.5,Connaught Place,28.6315,77.2167
2026-07-30 22:00:00,28.4,90,0.0,7.9,Connaught Place,28.6315,77.2167
2026-07-30 23:00:00,29.1,88,0.0,10.9,Connaught Place,28.6315,77.2167
2026-07-31 00:00:00,28.8,89,0.0,10.2,Connaught Place,28.6315,77.2167
2026-07-31 01:00:00,28.7,89,0.0,9.9,Connaught Place,28.6315,77.2167
2026-07-31 02:00:00,28.5,88,0.0,9.6,Connaught Place,28.6315,77.2167
2026-07-31 03:00:00,28.3,87,0.0,9.4,Connaught Place,28.6315,77.2167
2026-07-31 04:00:00,28.1,86,0.0,10.3,Connaught Place,28.6315,77.2167
